details,prix,adresse,img_link,source,page
Pigeon Messager,25 000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4286623_uploaded_image1_1688830929.jpg,"Poules, Lapins et Pigeons",2
Pigeons,20 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4283652_uploaded_image1_1688651905.jpg,"Poules, Lapins et Pigeons",2
Poulets de chair,4 000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4283570_uploaded_image1_1688648209.jpg,"Poules, Lapins et Pigeons",2
Hamster,15 000,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5189132_uploaded_image1_1739782582.jpg,Autres Animaux,1
Canards mâles et femelles,Prix sur demande,"Thies, Sénégal",https://images.coinafrique.com/thumb_5185900_uploaded_image1_1739544627.jpg,Autres Animaux,1
Caille,15 000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5182728_uploaded_image1_1739380241.jpg,Autres Animaux,1
Boeuf,Prix sur demande,"Niaga, Sénégal",https://images.coinafrique.com/thumb_5179428_uploaded_image1_1739207935.jpg,Autres Animaux,1
Perroquet perruches ondulées,20 000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5138284_uploaded_image1_1737038687.jpg,Autres Animaux,1
Perroquets,15 000,"Thies, Sénégal",https://images.coinafrique.com/thumb_5125396_uploaded_image1_1736351628.jpg,Autres Animaux,1
Chat Siamois,200 000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5103325_uploaded_image1_1734893890.jpg,Autres Animaux,1
Perruches ondulées,20 000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5103176_uploaded_image1_1734884464.jpg,Autres Animaux,1
Chaton,Prix sur demande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5096028_uploaded_image2_1734447537.jpeg,Autres Animaux,1
Chaton Siamois,235 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5092278_uploaded_image1_1734215302.jpg,Autres Animaux,1
Poissons Aquarium,8 500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5068623_uploaded_image1_1732965550.jpg,Autres Animaux,1
Tortues terrestres,35 000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5066823_uploaded_image1_1732865161.jpg,Autres Animaux,1
Bœuf,800 000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5054269_uploaded_image1_1732160455.jpg,Autres Animaux,1
Bœuf,800 000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5054268_uploaded_image1_1732160128.jpg,Autres Animaux,1
Chat Persan,400 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5050095_uploaded_image1_1731948012.jpg,Autres Animaux,1
Bœufs,800 000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5042261_uploaded_image1_1731516188.jpg,Autres Animaux,1
Mondain,140 000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5041931_uploaded_image1_1731508632.jpg,Autres Animaux,1
Himalayen,265 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5041105_uploaded_image1_1731466674.jpg,Autres Animaux,1
persan pure race,400 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5041103_uploaded_image1_1731467091.jpg,Autres Animaux,1
British et scottish pure race,650 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5041101_uploaded_image1_1731465886.jpg,Autres Animaux,1
Dindes,25 000,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5035473_uploaded_image1_1731162862.jpg,Autres Animaux,1
Couples Dindons,Prix sur demande,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_5034401_uploaded_image2_1731090945.jpeg,Autres Animaux,1
Bœuf,300 000,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_5022926_uploaded_image1_1730540052.jpg,Autres Animaux,1
Chaton de 1 mois,20 000,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_5017864_uploaded_image1_1730286261.jpg,Autres Animaux,1
Chèvre,60 000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5009683_uploaded_image1_1729789010.jpg,Autres Animaux,1
Caille,1 500,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5001807_uploaded_image1_1729346954.jpg,Autres Animaux,1
Couple dinde,Prix sur demande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5001804_uploaded_image1_1729346440.jpg,Autres Animaux,1
Chat Siamois,170 000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4997392_uploaded_image2_1729102102.jpeg,Autres Animaux,1
Bœuf,700 000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4996496_uploaded_image1_1729075617.jpg,Autres Animaux,1
Boeuf,Prix sur demande,"Thies, Sénégal",https://images.coinafrique.com/thumb_4995019_uploaded_image1_1729000242.jpg,Autres Animaux,1
Tortue,35 000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_4976748_uploaded_image1_1728036550.jpg,Autres Animaux,1
Bleus,Prix sur demande,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4974963_uploaded_image1_1727962840.jpg,Autres Animaux,1
Perroquet,399 000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4967605_uploaded_image1_1727643698.jpg,Autres Animaux,1
Œufs de caille,4 500,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4962446_uploaded_image1_1727306903.jpg,Autres Animaux,1
Hamster,10 000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4962365_uploaded_image1_1727302829.jpg,Autres Animaux,1
Cailles de chair,2 500,"Thies, Sénégal",https://images.coinafrique.com/thumb_4957482_uploaded_image1_1727090624.jpg,Autres Animaux,1
Chaton,50 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4956743_uploaded_image1_1727042864.jpg,Autres Animaux,1
Pintade noire,800 000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_4942157_uploaded_image1_1726204107.jpg,Autres Animaux,1
Chaton Persan Peaky Face,590 000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4941927_uploaded_image1_1726184064.jpg,Autres Animaux,1
Chat,350 000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_4928423_uploaded_image1_1725508257.jpg,Autres Animaux,1
Chatons,Prix sur demande,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4922546_uploaded_image1_1725269043.jpg,Autres Animaux,1
Poussins de canard,2 500,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4917429_uploaded_image1_1724966703.jpg,Autres Animaux,1
Dinde rouge Ardenne,Prix sur demande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4917420_uploaded_image1_1724966404.jpg,Autres Animaux,1
Perroquets,50 000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4903200_uploaded_image1_1724163057.jpg,Autres Animaux,1
Poisson Aquarium,8 500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4898597_uploaded_image1_1723887709.jpg,Autres Animaux,1
Bœufs,Prix sur demande,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4895608_uploaded_image1_1723716978.jpg,Autres Animaux,1
Chatons persans chinchillas purs,550 000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4888897_uploaded_image1_1723397770.jpg,Autres Animaux,1
Autruche,750 000,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_4885138_uploaded_image1_1723173640.jpg,Autres Animaux,1
Œufs de caille,3 000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4880858_uploaded_image1_1722971406.jpg,Autres Animaux,1
Œufs de caille,3 000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4880849_uploaded_image1_1722971092.jpg,Autres Animaux,1
vache,Prix sur demande,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4878570_uploaded_image1_1722874635.jpg,Autres Animaux,1
Boeuf,550,"Matam, Sénégal",https://images.coinafrique.com/thumb_4869182_uploaded_image1_1722422052.jpg,Autres Animaux,1
Vache,350 000,"Gassane, Sénégal",https://images.coinafrique.com/thumb_4864739_uploaded_image1_1722168896.jpg,Autres Animaux,1
Chaton hiamalayen,200 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4864117_uploaded_image1_1722115248.jpg,Autres Animaux,1
Siamois,200 000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4855435_uploaded_image1_1721662817.jpg,Autres Animaux,1
Bœufs race Goudali,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4853741_uploaded_image1_1721569594.jpg,Autres Animaux,1
Vache montbéliardes,2 000 000,"Pikine, Sénégal",https://images.coinafrique.com/thumb_4851931_uploaded_image2_1721447498.jpeg,Autres Animaux,1
Perruche ondulée,15 000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4846061_uploaded_image1_1721147785.jpg,Autres Animaux,1
Perruche ondulée,30 000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4846053_uploaded_image1_1721147434.jpg,Autres Animaux,1
Perruches ondulées blanches,20 000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4846024_uploaded_image1_1721146605.jpg,Autres Animaux,1
Persan pure race,500 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4818301_uploaded_image1_1719774491.jpg,Autres Animaux,1
Chatons Persan pure race,450 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4808981_uploaded_image1_1719268557.jpg,Autres Animaux,1
Scottish fold et scottish straight de race pure,700 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4808971_uploaded_image1_1719267956.jpg,Autres Animaux,1
Foin,4 600,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4807500_uploaded_image1_1719210823.jpg,Autres Animaux,1
Paon,140 000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4804686_uploaded_image1_1718999173.jpg,Autres Animaux,1
Chat scotish,750 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4803206_uploaded_image1_1718912151.jpg,Autres Animaux,1
Poussin dinde rouge,15 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4794677_uploaded_image1_1718313441.jpg,Autres Animaux,1
Cochin Fauve,17 500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4794473_uploaded_image1_1718301841.jpg,Autres Animaux,1
Poussin Cochin disponible,17 500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4794466_uploaded_image1_1718301585.jpg,Autres Animaux,1
Chat persan,400 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4785131_uploaded_image1_1717786702.jpg,Autres Animaux,1
Chaton Angora,350 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4765270_uploaded_image1_1716842569.jpg,Autres Animaux,1
Vache laitière Montbéliarde,Prix sur demande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4765247_uploaded_image1_1716841792.jpg,Autres Animaux,1
Chaton Scottish,450 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4755374_uploaded_image1_1716328455.jpg,Autres Animaux,1
Vaches Montbéliarde,Prix sur demande,"Pikine, Sénégal",https://images.coinafrique.com/thumb_4753936_uploaded_image1_1716257870.jpg,Autres Animaux,1
Vache Montbéliard et Holstein,Prix sur demande,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4753935_uploaded_image1_1716257776.jpg,Autres Animaux,1
Vache  Montbéliard Holstein,Prix sur demande,"Pikine, Sénégal",https://images.coinafrique.com/thumb_4753933_uploaded_image1_1716257630.jpg,Autres Animaux,1
Boeuf,800 000,"Kaolack, Sénégal",https://images.coinafrique.com/thumb_4752043_uploaded_image1_1716145974.jpg,Autres Animaux,1
3 chatons,Prix sur demande,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4751663_uploaded_image1_1716126912.jpg,Autres Animaux,1
Paon bleu,250 000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4686441_uploaded_image1_1712838619.jpg,Autres Animaux,1
Perroquet inséparable,60 000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4724298_uploaded_image1_1714756962.jpg,Autres Animaux,1
Chat Siamois,300 000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4723220_uploaded_image1_1714727016.jpg,Autres Animaux,1
Hamster,5 000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4723216_uploaded_image1_1714726904.jpg,Autres Animaux,1
Cailles,Prix sur demande,"Touba, Sénégal",https://images.coinafrique.com/thumb_4701407_uploaded_image1_1713575328.jpg,Autres Animaux,1
Perruche,20 000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_4701230_uploaded_image1_1713565518.jpg,Autres Animaux,1
Chaton,Prix sur demande,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_4689687_uploaded_image1_1713000926.jpg,Autres Animaux,2
Bœufs,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4679890_uploaded_image1_1712437211.jpg,Autres Animaux,2
Paire de perruches ondulées,40 000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_4679396_uploaded_image1_1712411459.jpg,Autres Animaux,2
Vache brune,Prix sur demande,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4664799_uploaded_image1_1711657831.jpg,Autres Animaux,2
Chatons,Prix sur demande,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4651939_uploaded_image1_1710967508.jpg,Autres Animaux,2
Couple perroquet  Roseicollis,60 000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4651651_uploaded_image1_1710951067.jpg,Autres Animaux,2
Canard Colvert,25 000,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4650420_uploaded_image1_1710887873.jpg,Autres Animaux,2
Chatons,Prix sur demande,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4646165_uploaded_image1_1710686670.jpg,Autres Animaux,2
Chaton Himalayen,270 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4642742_uploaded_image1_1710476161.jpg,Autres Animaux,2
Cage avec 3  oiseaux,60 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4640165_uploaded_image1_1710330525.jpg,Autres Animaux,2
Chaton Hymalayen Persan,270 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4639205_uploaded_image1_1710275204.jpg,Autres Animaux,2
Chat Brittish Shorthair,700 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4629619_uploaded_image1_1709768692.jpg,Autres Animaux,2
Chat Persan Chinchilla,400 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4623023_uploaded_image1_1709471973.jpg,Autres Animaux,2
Poussins de canards,3 000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4619825_uploaded_image1_1709296934.jpg,Autres Animaux,2
Chaton,Prix sur demande,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_4608863_uploaded_image1_1708712110.jpg,Autres Animaux,2
Chaton Siamois Hymalayen,240 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4593854_uploaded_image1_1707927839.jpg,Autres Animaux,2
Chaton Persan,400 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4592914_uploaded_image1_1707885493.jpg,Autres Animaux,2
Chaton Scottish Fold,750 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4571582_uploaded_image1_1706729320.jpg,Autres Animaux,2
Perroquet youyou,10 000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4570755_uploaded_image2_1706701706.jpeg,Autres Animaux,2
Chaton Persan,400 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4569529_uploaded_image1_1706630955.jpg,Autres Animaux,2
Boeuf,600 000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4568012_uploaded_image1_1706543950.jpg,Autres Animaux,2
Cochons d'inde,20 000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4555313_uploaded_image1_1705776199.jpg,Autres Animaux,2
Chaton Scotish Fold,750 000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_4540889_uploaded_image1_1705029103.jpg,Autres Animaux,2
Chaton Persan,400 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4540876_uploaded_image1_1705028116.jpg,Autres Animaux,2
Bœuf,Prix sur demande,"Diamalaye 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_4534540_uploaded_image1_1704746080.jpg,Autres Animaux,2
Poissons aquarium,7 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4534116_uploaded_image2_1704727054.jpeg,Autres Animaux,2
Chatons Serval,1 500 000,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_4517799_uploaded_image1_1703777941.jpg,Autres Animaux,2
Couple dinde,40 000,"Kolda, Sénégal",https://images.coinafrique.com/thumb_4506000_uploaded_image1_1702997150.jpg,Autres Animaux,2
Vaches,1 500 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4504586_uploaded_image1_1702911785.jpg,Autres Animaux,2
Cochons,20 000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4503064_uploaded_image1_1702806770.jpg,Autres Animaux,2
Cochons,20 000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4503058_uploaded_image1_1702806558.jpg,Autres Animaux,2
Pintade,75 000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4465594_uploaded_image1_1700505532.jpg,Autres Animaux,2
Brittish Shorthair,800 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4462219_uploaded_image1_1700244596.jpg,Autres Animaux,2
Perruche Anglaise,40 000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4456172_uploaded_image1_1699885668.jpg,Autres Animaux,2
Perruches ondulées,15 000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4456156_uploaded_image1_1699884359.jpg,Autres Animaux,2
Cailles,1 500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4454743_uploaded_image1_1699793813.jpg,Autres Animaux,2
Perruche ondulée,7 000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4452994_uploaded_image1_1699659802.jpg,Autres Animaux,2
Paon,250 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4451044_uploaded_image1_1699554808.jpg,Autres Animaux,2
Canards,Prix sur demande,"Thies, Sénégal",https://images.coinafrique.com/thumb_4442030_uploaded_image1_1699015617.jpg,Autres Animaux,2
Paon,65 000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4435457_uploaded_image1_1698661056.jpg,Autres Animaux,2
Pintade,7 000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4412768_uploaded_image1_1697036744.jpg,Autres Animaux,2
Perroquet,50 000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4411374_uploaded_image1_1696959883.jpg,Autres Animaux,2
Oies de Toulouse,Prix sur demande,"Thies, Sénégal",https://images.coinafrique.com/thumb_4409000_uploaded_image1_1696840958.jpg,Autres Animaux,2
Dindes,30 000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4408804_uploaded_image1_1696809535.jpg,Autres Animaux,2
Pintades,40 000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4408799_uploaded_image1_1696809191.jpg,Autres Animaux,2
Veaux,450 000,"Pikine, Sénégal",https://images.coinafrique.com/thumb_4407653_uploaded_image1_1696730126.jpg,Autres Animaux,2
Chèvre,80 000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4387674_uploaded_image1_1695430824.jpg,Autres Animaux,2
Chat Persan,650 000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4386249_uploaded_image1_1695340690.jpg,Autres Animaux,2
Dinde rouge pair,35 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4381112_uploaded_image1_1695035479.jpg,Autres Animaux,2
Bœuf,450 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4379382_uploaded_image1_1694875556.jpg,Autres Animaux,2
Chaton,Prix sur demande,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4365267_uploaded_image1_1694000653.jpg,Autres Animaux,2
Taureau,320 000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4335558_uploaded_image1_1692061499.jpg,Autres Animaux,2
Chaton Gimalayen Siamois,250 000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_4333502_uploaded_image1_1691932427.jpg,Autres Animaux,2
Perruches ondulées,20 000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4331659_uploaded_image1_1691773285.jpg,Autres Animaux,2
Perroquets,60 000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4331654_uploaded_image1_1691772808.jpg,Autres Animaux,2
Chatons  British shorthair,650 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4328377_uploaded_image1_1691583410.jpg,Autres Animaux,2
Cailles de chair,500,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4327166_uploaded_image1_1691508551.jpg,Autres Animaux,2
Chat Scottish fold,700 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4326378_uploaded_image1_1691464417.jpg,Autres Animaux,2
Bœuf,Prix sur demande,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4303523_uploaded_image1_1689962222.jpg,Autres Animaux,2
Vache,600 000,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4303521_uploaded_image1_1689962163.jpg,Autres Animaux,2
Poussins d'autruche,50 000,"Bambey, Sénégal",https://images.coinafrique.com/thumb_4292496_uploaded_image1_1689236421.jpg,Autres Animaux,2
Chat tigré,60 000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4290090_uploaded_image1_1689085062.jpg,Autres Animaux,2
Chat tigré,60 000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4290086_uploaded_image1_1689084975.jpg,Autres Animaux,2
Vache,Prix sur demande,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4284952_uploaded_image1_1688734268.jpg,Autres Animaux,2
Canard,30 000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4251761_uploaded_image1_1686479149.jpg,Autres Animaux,2
Autruche,40 000,"Bambey, Sénégal",https://images.coinafrique.com/thumb_4274068_uploaded_image1_1688027259.jpg,Autres Animaux,2
Chatons persans chinchilla golden shaded,500 000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4268926_uploaded_image1_1687601650.jpg,Autres Animaux,2
Chat persan chinchilla blue golden shaded,650 000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4268866_uploaded_image1_1687597344.jpg,Autres Animaux,2
Chat persan chinchilla golden shaded,500 000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4268857_uploaded_image1_1687596952.jpg,Autres Animaux,2
Perruches ondulées,20 000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4268218_uploaded_image1_1687536623.jpg,Autres Animaux,2
Oies,45 000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4263743_uploaded_image1_1687283716.jpg,Autres Animaux,2
Poissons aquariums,7 500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4258053_uploaded_image1_1686843939.jpg,Autres Animaux,2
Chaton,Prix sur demande,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4254477_uploaded_image1_1686653757.jpg,Autres Animaux,2
Paon,Prix sur demande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4250701_uploaded_image1_1686389684.jpg,Autres Animaux,2
Perruche,30 000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4236158_uploaded_image1_1685471000.jpg,Autres Animaux,2
Paon,400,"Touba, Sénégal",https://images.coinafrique.com/thumb_4226444_uploaded_image1_1684797786.jpg,Autres Animaux,2
Poussins bleus hollandais,1 500,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4223952_uploaded_image1_1684611180.jpg,Autres Animaux,2
Chaton Siamois Himalayen,275 000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_4215680_uploaded_image1_1684074328.jpg,Autres Animaux,2
Poissons aquarium,15 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4213007_uploaded_image1_1683888858.jpg,Autres Animaux,2
Cailles,7 000,"Touba, Sénégal",https://images.coinafrique.com/thumb_4208226_uploaded_image1_1683592423.jpg,Autres Animaux,2
Boeuf,600 000,"Bambey, Sénégal",https://images.coinafrique.com/thumb_4196106_uploaded_image1_1682881461.jpg,Autres Animaux,2
Perruches,30 000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_4194617_uploaded_image1_1682759209.jpg,Autres Animaux,2
Perroquet,35 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4185842_uploaded_image1_1682102205.jpg,Autres Animaux,2
Couple de perruches,14 900,"Thies, Sénégal",https://images.coinafrique.com/thumb_4180902_uploaded_image1_1681767382.jpg,Autres Animaux,2
